,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Subset
lightgbm,Light Gradient Boosting Machine,0.9533,0.959,0.9533,0.9525,0.9518,0.8227,0.8266,0.523,rdap_
xgboost,Extreme Gradient Boosting,0.9522,0.9589,0.9522,0.9512,0.9509,0.8204,0.823,0.331,rdap_
rf,Random Forest Classifier,0.9502,0.9572,0.9502,0.9491,0.9487,0.8121,0.8151,0.349,rdap_
et,Extra Trees Classifier,0.9467,0.941,0.9467,0.9455,0.945,0.798,0.8016,0.32,rdap_
gbc,Gradient Boosting Classifier,0.9358,0.942,0.9358,0.9342,0.9326,0.7489,0.7568,3.12,rdap_
dt,Decision Tree Classifier,0.9319,0.8981,0.9319,0.9313,0.9315,0.7541,0.7543,0.184,rdap_
knn,K Neighbors Classifier,0.9296,0.8997,0.9296,0.9275,0.9281,0.7381,0.7396,0.153,rdap_
ada,Ada Boost Classifier,0.9196,0.9229,0.9196,0.916,0.9159,0.6877,0.6938,0.776,rdap_
lda,Linear Discriminant Analysis,0.8576,0.8538,0.8576,0.8402,0.8421,0.3919,0.4102,0.15,rdap_
ridge,Ridge Classifier,0.8476,0.8539,0.8476,0.8271,0.8067,0.2207,0.2905,0.119,rdap_
nb,Naive Bayes,0.8317,0.7152,0.8317,0.6917,0.7553,0.0,0.0,0.067,rdap_
dummy,Dummy Classifier,0.8317,0.5,0.8317,0.6917,0.7553,0.0,0.0,0.062,rdap_
lr,Logistic Regression,0.6944,0.4346,0.6944,0.6868,0.6857,-0.0985,-0.1081,0.176,rdap_
qda,Quadratic Discriminant Analysis,0.6038,0.8827,0.6038,0.8596,0.6506,0.2492,0.3524,0.131,rdap_
svm,SVM - Linear Kernel,0.4393,0.4665,0.4393,0.6703,0.4658,-0.143,-0.1609,0.371,rdap_
